Column,Correlation_with_prc
prc,1.0
intrinsic_value,0.2119815518051411
eps_stdevest,0.11323009221057524
eps_medest,0.08420228338029563
eps_meanest,0.08358590684731056
market_equity,0.07814916758845257
eps_actual,0.0743945460881607
earnings_variability,0.028705554402658973
age,0.02774327387967495
qmj_safety,0.026991975898823656
corr_1260d,0.026425611534582474
dolvol_126d,0.021722130190177026
zero_trades_126d,0.02144801667459794
ret_eom,0.02075779607428572
date,0.020757795701389383
year,0.020753953610788967
zero_trades_21d,0.020344619592731015
aliq_mat,0.020002044691219117
prc_highprc_252d,0.017091550978869365
be_me,0.014496139252722038
f_score,0.01373854428119556
mispricing_mgmt,0.012894795496329076
eqnpo_12m,0.00844574328313248
lti_gr1a,0.007624352924816377
dbnetis_at,0.00621098288306262
zero_trades_252d,0.006038076659815871
mispricing_perf,0.005871869700810103
netis_at,0.005307117319373971
resff3_12_1,0.004063405631686674
coskew_21d,0.003989882900852807
ni_me,0.0030621260361038626
cash_at,0.0021574240900304256
rskew_21d,0.0020632335880449624
rmax5_rvol_21d,0.002007261826041804
ncol_gr1a,0.001978043694893404
iskew_capm_21d,0.001865801177320169
niq_su,0.0013176393047045942
qmj_growth,0.0012703269119136776
kz_index,0.0012644867789082391
oaccruals_at,0.0011356818410318045
capex_abn,0.001048412735963798
month,0.0010306619974352876
iskew_hxz4_21d,0.0008366331221661581
resff3_6_1,0.0006785356534494178
taccruals_ni,0.0006600920793850376
fcf_me,0.0005424282205952328
oaccruals_ni,0.0004610884785705275
bev_mev,0.0003951161878974587
dsale_dinv,0.00028501701162804774
sti_gr1a,0.0002467389505882001
ebit_sale,0.0001818585639592365
be_gr1a,0.00017024800498592998
ncoa_gr1a,0.00016957138158751924
nncoa_gr1a,0.00015930706002795003
stock_exret,0.00015287981948436686
fnl_gr1a,0.00014362837409843433
dgp_dsale,0.00013451691831660676
niq_be_chg1,5.0361937354272985e-05
niq_be,1.0704818112761378e-05
col_gr1a,-1.798312897578258e-05
ni_be,-2.6253696779252925e-05
ebit_bev,-3.918218551712397e-05
ebitda_mev,-7.466460524679995e-05
dsale_drec,-7.536491872516579e-05
taccruals_at,-7.688582223975054e-05
niq_at,-8.570082685046735e-05
saleq_gr1,-0.00010546373702202947
iskew_ff3_21d,-0.00012338214575858552
nfna_gr1a,-0.00013044259245579803
capx_gr1,-0.0001554428808136686
dsale_dsga,-0.00016593542262297278
ppeinv_gr1a,-0.00016958111500194216
niq_at_chg1,-0.00018423494775172202
sale_gr3,-0.00021690973456241347
sale_gr1,-0.00022344731232868382
noa_gr1a,-0.00029142117389209244
cowc_gr1a,-0.0003067188846750444
at_gr1,-0.00032001336161880387
aliq_at,-0.00035316688327681326
eqnetis_at,-0.00043603655644950333
inv_gr1,-0.0004403460054541046
sale_emp_gr1,-0.0004883633641314521
capx_gr3,-0.0004962079121392657
ocf_at_chg1,-0.0005354980957745717
saleq_su,-0.0005388619172034397
noa_at,-0.0005395561743210888
debt_gr3,-0.0006270829522020929
ret_1_0,-0.0006302143355360959
z_score,-0.0006461349518424094
ocfq_saleq_std,-0.0006619101897341106
op_atl1,-0.0006705847781644078
ope_be,-0.0007456237023870065
ope_bel1,-0.0008456458311186714
capx_gr2,-0.0009131532721048888
coa_gr1a,-0.0009436800676324292
cop_atl1,-0.0009794333762190147
ret_3_1,-0.0010544119364044782
seas_1_1an,-0.0011064869943733428
pi_nix,-0.0012283734036796356
eq_dur,-0.0013175829619863646
sale_bev,-0.0013691732524828085
at_be,-0.0013939067794573635
inv_gr1a,-0.0014052572528060337
ret_6_1,-0.0014829256515208275
qmj,-0.0016338418951733578
emp_gr1,-0.0017827539306475518
ret_9_1,-0.0019537585103725007
ret_12_7,-0.0021193262707297493
ret_12_1,-0.0022030472928259775
tax_gr1a,-0.0024466802624768962
seas_1_1na,-0.002755796481182409
cop_at,-0.0029214247326508165
seas_2_5an,-0.002923946245260101
eqnpo_me,-0.003045392984618354
lnoa_gr1a,-0.003192375868875684
rf,-0.003197577769102576
at_me,-0.0032042327081147366
ocf_me,-0.00350033771214701
rd_sale,-0.0036295028910281824
debt_me,-0.004098710997049089
ret_60_12,-0.004456452443848435
ami_126d,-0.004537091016097767
gp_atl1,-0.004574162397252522
ni_ivol,-0.005092393138181848
netdebt_me,-0.005271600931917095
o_score,-0.005696763970842307
ocf_at,-0.006645336139058869
chcsho_12m,-0.006785107743880957
rd5_at,-0.0083851949442556
sale_me,-0.008525735910307282
ni_inc8q,-0.008938949029890569
beta_dimson_21d,-0.009114506276789981
dolvol_var_126d,-0.009182376796891038
turnover_var_126d,-0.009638264799106221
seas_2_5na,-0.009949737212601057
opex_at,-0.011180782497131968
eqpo_me,-0.014246917090759603
op_at,-0.014326750223895948
rmax1_21d,-0.014557215802936856
at_turnover,-0.016416827967488504
exchcd,-0.016752750649940425
div12m_me,-0.01759488419463886
betadown_252d,-0.01786988226615852
rmax5_21d,-0.01818957439333897
ni_ar1,-0.01866544671852907
beta_60m,-0.01930734834469606
rvol_21d,-0.01964856114843487
betabab_1260d,-0.01990251406199001
tangibility,-0.02075594217481946
ivol_capm_21d,-0.02089731809970031
mspread,-0.021314212915857084
ivol_hxz4_21d,-0.02139146045664895
bidaskhl_21d,-0.021769455934149265
ivol_ff3_21d,-0.021955826272226482
gp_at,-0.022215792223955404
turnover_126d,-0.02383494864550015
ivol_capm_252d,-0.02684258980408135
qmj_prof,-0.02900161002136786
permno,-0.035725057884514425
rd_me,-0.09679625563118727
shrcd,
